saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_movimentacao,tipo_deficiencia,salario_mensal,indicador_aprendiz
-1,101,7,46,44.0,3,1,31,0,1844.18,0
-1,101,7,24,44.0,6,1,31,0,1375.0,0
-1,105,7,37,48.0,3,3,31,0,1302.0,0
-1,101,7,27,44.0,3,1,31,0,1319.63,0
-1,101,7,34,44.0,3,1,40,0,1550.0,0
-1,101,7,28,44.0,1,3,40,0,1598.4,0
-1,101,7,32,44.0,6,3,40,0,1302.0,0
-1,101,7,27,44.0,2,3,40,0,1305.0,0
-1,101,7,45,44.0,1,3,40,0,1200.71,0
-1,101,7,36,44.0,3,1,40,0,1302.0,0
-1,101,7,20,45.71,3,1,40,0,1212.0,0
-1,101,6,19,44.0,6,1,40,0,1375.0,0
-1,101,7,31,44.0,6,3,40,0,1302.0,0
-1,101,6,24,44.0,3,3,40,0,1302.0,0
-1,101,7,29,44.0,3,1,40,0,1484.0,0
-1,111,7,18,7.33,6,1,40,0,259.5,0
-1,101,7,28,44.0,6,3,40,0,1302.0,0
-1,101,7,26,36.0,6,3,40,0,1317.0,0
-1,101,5,24,44.0,3,3,40,0,1314.0,0
-1,101,7,28,44.0,4,1,40,0,1375.0,0
-1,101,7,21,48.0,3,1,40,0,1375.0,0
-1,101,7,44,44.0,3,3,40,0,1389.0,0
-1,101,7,26,44.0,6,1,40,0,1375.0,0
-1,101,7,22,36.0,3,3,40,0,1375.0,0
-1,101,9,29,44.0,6,1,40,0,0.0,0
-1,101,8,40,40.0,3,3,40,0,3181.2,0
-1,101,9,29,44.0,3,3,40,0,2019.77,0
-1,101,7,24,44.0,3,1,40,0,1375.0,0
-1,101,7,22,44.0,3,1,40,0,1400.0,0
-1,101,7,27,44.0,3,3,40,0,1400.0,0
-1,101,7,21,48.0,3,1,40,0,1375.0,0
-1,111,7,19,44.0,3,3,40,0,1375.0,0
-1,101,7,25,44.0,6,3,40,0,1375.0,0
-1,103,7,19,30.0,3,3,43,0,917.3,1
-1,101,7,45,44.0,1,3,43,0,1375.0,0
-1,101,7,50,44.0,3,1,43,0,1367.58,0
-1,101,7,18,44.0,6,3,43,0,1375.0,0
-1,101,7,35,44.0,6,1,43,0,1375.0,0
-1,103,7,20,20.0,1,1,43,0,651.0,1
-1,101,5,30,44.0,3,1,43,0,1302.0,0
-1,101,7,41,44.0,6,1,43,0,1304.53,0
-1,101,7,21,44.0,6,3,43,0,1375.0,0
-1,101,7,42,44.0,3,3,43,0,1375.0,0
-1,101,7,34,44.0,3,3,43,0,1336.11,0
-1,101,7,50,44.0,1,3,43,0,1302.0,0
-1,101,7,30,44.0,3,1,43,0,1367.58,0
-1,105,8,44,44.0,3,1,43,0,0.0,0
1,101,9,30,44.0,6,3,97,0,1375.0,0
1,101,7,25,44.0,6,1,97,0,1375.0,0
1,101,7,39,44.0,1,1,97,0,1540.0,0
1,101,7,46,44.0,2,1,97,0,1302.0,0
1,101,7,28,44.0,2,3,97,0,1360.0,0
1,101,5,33,44.0,1,1,97,0,1390.0,0
1,101,7,46,36.0,1,1,97,0,1375.0,0
1,101,9,32,44.0,3,1,97,0,1352.04,0
1,101,7,33,44.0,3,1,97,0,1302.0,0
1,101,7,25,48.0,6,1,97,0,1375.0,0
1,101,7,22,44.0,6,1,97,0,1302.0,0
1,101,7,25,44.0,6,3,97,0,1686.04,0
1,101,9,37,44.0,6,3,97,0,1428.58,0
1,101,7,29,45.71,3,1,97,0,1302.0,0
1,101,7,45,44.0,6,1,97,0,1585.89,0
1,101,7,22,33.0,3,3,97,0,1375.0,0
1,101,7,26,44.0,3,1,97,0,1375.0,0
1,101,7,36,44.0,3,1,97,0,1375.0,0
1,101,7,24,44.0,6,1,97,0,1375.0,0
1,101,7,27,44.0,3,3,97,0,1415.44,0
1,101,7,36,44.0,6,3,97,0,1375.0,0
1,101,7,25,44.0,6,1,97,0,1800.0,0
1,103,7,18,24.0,6,1,97,0,592.0,1
1,101,7,22,44.0,6,1,97,0,1302.0,0
1,103,4,14,8.0,1,1,97,0,651.0,1
1,101,7,20,44.0,3,1,97,0,1360.0,0
1,101,7,42,44.0,3,3,97,0,1375.0,0
1,101,7,44,45.71,1,1,97,0,1302.0,0
1,101,7,28,48.0,3,1,97,0,1375.0,0
1,101,7,44,44.0,3,3,97,0,1360.0,0
1,103,7,19,20.0,6,1,97,0,611.73,1
1,101,7,23,48.0,1,3,97,0,1375.0,0
1,101,7,19,44.0,3,1,97,0,1375.0,0
1,101,7,43,44.0,6,3,97,0,2000.0,0
1,101,7,38,44.0,6,1,97,0,1657.29,0
1,101,8,43,44.0,1,3,97,0,1302.0,0
1,101,7,21,44.0,3,1,97,0,1367.58,0
1,101,7,43,44.0,6,1,97,0,1350.0,0
1,101,7,26,44.0,6,3,97,0,1375.0,0
1,101,7,20,44.0,3,1,97,0,1314.26,0
1,101,7,24,44.0,3,3,97,0,1360.0,0
1,101,7,35,44.0,6,3,97,0,1416.26,0
1,101,7,46,40.0,6,3,97,0,1375.0,0
1,101,7,18,44.0,6,1,97,0,1302.0,0
1,103,6,21,20.0,3,1,97,0,591.81,1
1,101,7,23,44.0,3,1,97,0,1302.0,0
1,101,7,28,44.0,1,1,97,0,1360.0,0
1,101,7,31,44.0,6,1,97,0,1375.0,0
1,101,7,21,44.0,3,1,97,0,1375.0,0
1,101,7,23,44.0,3,3,97,0,1375.0,0
1,103,7,19,24.0,6,1,97,0,651.0,1
1,101,7,38,44.0,6,1,97,0,1375.0,0
1,101,7,21,44.0,6,1,97,0,1375.0,0
1,101,7,25,44.0,1,3,97,0,1375.0,0
1,101,7,39,44.0,3,1,97,0,1302.0,0
